type,number,name,foreign name,state,company,time
US military standards MIL,MIL-DTL-6458H-2014,"CHAIN ASSEMBLIES, SINGLE LEG, AIRCRAFT CARGO TIE DOWN",,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),9-Sep-19
US military standards MIL,MIL-DTL-25959J-2020,"TIE DOWN, TENSIONERS, CARGO, AIRCRAFT",,effective,,
US military standards MIL,MIL-STD-1530D,AIRCRAFT STRUCTURAL INTEGRITY PROGRAM (ASIP),,effective,,
US military standards MIL,MIL-A-23622-1963,"ACTUATOR, AIRCRAFT, ELECTRO-MECHANICAL, LINEAR, DIRECT CURRENT",,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),30-Jul-19
US military standards MIL,MIL-A-8064B-1970,"ACTUATORS AND ACTUATING SYSTEMS, AIRCRAFT",,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),28-May-87
US military standards MIL,MIL-D-27729-1963(R1981),"DETECTING SYSTEMS;FLAME & SMOKE,AIRCRAFT,AEROSPACE",,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),13-May-81
US military standards MIL,MIL-P-26367A-1966,"Propeller Systems, Aircraft, Model Specifiction For (Outline And Instructions For Preparation)","Propeller Systems, Aircraft, Model Specifiction For (Outline And Instructions For Preparation)",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2012/1/25
US military standards MIL,MIL-HDBK-221-1965(R2014),FIRE PROTECTION DESIGN HANDBOOK FOR U.S. NAVY AIRCRAFT POWERED BY TURBINE ENGINES,,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),22-Apr-14
US military standards MIL,MIL-P-26366A-1962,"Propeller Systems, Aircraft, General Specification For","Propeller Systems, Aircraft, General Specification For",effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),2012/1/25
US military standards MIL,MIL-F-7872C-1966(R2019),"FIRE AND OVERHEAT WARNING SYSTEMS CONTINUOUS, AIRCRAFT, TEST AND INSTALLATION OF",,effective,Military and Government Specs & Standards (Naval Publications and Form Center) (NPFC),5-Apr-19
