title,type,content,keywords,author,time,url
JF-17 Thunder,Multi-role fighter,"The Joint Fighter-17 (JF-17) Thunder multi-role fighter was started life as a joint US and Chinese program. In the late 1980s Chengdu and Grumman made a deign study to upgrade Chinese Xian F-7M fighters to Super 7 standard. This new aircraft was planned to be offered for export by China as a low-cost replacement for the American Northrop F-5, Chinese F-6 and F-7, as well as SovietMiG-21. This new aircraft was planned to be fitted with Western radar, engine and avionics. However this programme was cancelled in 1990. China continued the Super 7 project on its own and renamed the design as the Fighter China-1 (FC-1) or FC-1 Xiaolong (Fiece Dragon). This design further evolved into a JF-17, that was jointly developed by China and Pakistan. Development started in 1999. Most of the development was carried out in China by Chengdu, however development costs were split equally. It was reported that Russian Mikoyan design bureau provided some assistance in development of this aircraft. The JF-17 made its maiden flight in 2003. First 8 Chinese-built fighters were delivered to Pakistan in 2007-2008. In 2009 an order was signed for a further 42 fighters. These were license-produced locally by Pakistan Aeronautical Complex. By 2015 Pakistan Air Force operated 60 of these aircraft. By 2020 a total of 135 of these multi-role fighters were in Pakistani service and another 64 were on order. Production of this aircraft continues. It is estimated that total requirement of the Pakistani Air Force could be for 250 new fighters. Currently Pakistan Air Force also operate a number of ageing A-5C, F-7P, Mirage 3 and Mirage 5 that a due to be replaced. The JF-17 multi-role aircraft is also proposed for developing countries as a low-cost replacement for their ageing types. It has been exported to Myanmar (16) and Nigeria (3).",,,,
Chengdu J-20,Stealthy air superiority fighter,"First photos of the Chinese J-20 stealthy fighter aircraft appeared in 2010. It was designed to compete against fifth-generation fighters, such as a USF-22 Raptor and advanced fourth-generation fighters, such as a RussianSu-57 (previously known as PAK-FA). It is speculated, that development of the J-20 was assisted by the Russian MiG aviation company. After collapse of the Soviet Union this aviation giant suffered from loss of orders and uncertain future. Externally the J-20 strongly resembles a cancelled RussianMiG 1.42 multi-role fighter. The MiG 1.42 demonstrator  was first publicly revealed in 1999. It made its first flight in 2001, however the Russian program was suspended due to funding problems. It is rather unusual that photos of this stealthy fighter aircraft came out even before the first flight, considering that all Chinese military programs are kept in high secrecy. However during the last decade China has taken a more transparent approach to its military programs. Still though there is little official information on this plane. When the first photos appeared some sources suggested, that this aircraft is a high-flying long-range interceptor. Other sources suggested, that it might be a long-range interdictor or tactical bomber. The J-20 is actually a medium- and long-range air superiority fighter, like the US F-22, which might also have a secondary ground attack capability. Actually the new J-20 is an advanced fourth-generation fighter, rather than a true fifth-generation fighter. Still though it easily outclasses older fourth-generation fighters, such as the USF-16 or the RussianSu-27. This aircraft made its first flight in 2011. By 2015 at least 5 prototypes were built. Low-rate initial production commenced in 2015. This new Chinese aircraft was first publicly revealed only in 2016. First operational J-20 stealthy fighters were delivered to Chinese air force in 2016. The J-20 fighter was officially adopted by the Chinese air force in 2017. Some sources report, that China plans to produce 570 of these aircraft.",,,,
Chengdu J-10,Multi-role fighter,"The J-10 multi-role fighter is the first Chinese-developed combat aircraft that approaches Western fighters in terms of performance and capabilities. It is known as Meng Long or Vigorous Dragon in China and as Firebird in the West. Development of the J-10 began in 1988. It was intended to counter threat posed by the Soviet fourth-generation fighters - the MiG-29 and Su-27. The J-10 was initially planned as an air-superiority fighter, however collapse of the Soviet Union and changing requirements shifted the development towards a multi-role fighter. Aircraft made its maiden flight in 1998. The whole project was kept under high secrecy. It is worth mentioning, that the first photos of the J-10 came out only 3-4 years after the first flight. Some sources claim that it was influenced by theIAI Lavi. The J-10 multi-role fighter entered service with Chinese air force in 2004, however it was first publicly revealed only in 2006. Currently around 240 of these aircraft are in service. It is estimated that 300 fighter of this type are required for Chinese air force and possibly naval aviation too. A number of countries, including Indonesia, Iran, Pakistan and Thailand expressed interest in purchasing this aircraft.",,,,
SAC J-31,Stealthy multi-role fighter,The new Chinese J-31 stealthy aircraft was developed by Shenyang Aircraft Corporation (SAC). It is also referred as FC-31. Development of this aircraft started in around 2008. Some sources report that in 2007 China received blueprints and other classified information of theF-35 Joint Strike Fighter. This data was used to build the J-31. It is estimated that this stolen classified information saved China 25 years of research and development. The J-31 made its maiden flight in 2012. Significantly improved prototype was observed in 2017.,,,,
Shenyang J-16,Multi-role fighter,"The J-16 is a Chinese twin-engine, tandem-seat, all-weather, multi-role strike fighter. It evolved from theJ-11 air superiority fighter. It is a more advanced version with an added ground attack capability. It is broadly similar in terms of capabilities to theAmerican F-15E. Production of the J-16 began in 2012. This aircraft has been in service with the People's Liberation Army Air Force (PLAAF) since 2013. The J-16 is still being manufactured and of 2019 more than 128 J-16＊s were in PLAAF service.",,,,
Shenyang J-15,Carrierborne air superiority fighter,"The Shenyang J-15, nicknamed the Flying Shark is a carrierborne air superiority fighter jet. Its development was marked by a controversy. Russia claims that China violated intellectual property agreements by creating its own version of Russian Sukhoi Su-33 fighter jet. In 2006 this incident ended negotiations to obtain new military aircraft from Russia.",,,,
Shenyang J-11,Air superiority fighter,"Chinese air force has been looking for a way to produce a counterpart to the fourth generation fighter jets, used by NATO countries. The first idea about developing a Soviet-like fighter emerged in late 70＊s when Shenyang factory combined a light fighter design of the Soviet MiG-19 with a British Rolls-Royce Spey 512 engine. This project was known as the J-11, but eventually failed. However this idea was resurrected two decades later.",,,,
SAC J-8 Finback,Air superiority fighter,"Built only in small numbers up to 1987, the J-8 resembled little more than a scaled-up twin-enginedMiG-21 and had only a limited combat capability. Revealed in 1984, the J-8 l (Western reporting name Finback-A) was an all-weather development with a basic fire-control radar, 23 mm cannon and missile armament.",,,,
Dassault Rafale,Multi-role fighter,"The Dassault Rafale will form the cornerstone of French air power until well into the 21st century. The programme began with the Rafale A technology demonstrator that was first flown on 4 July 1986. This established the basic aerodynamic design and evaluated the delta canard configuration, performance, FBW control system and composite-based structure. The generic Rafale D (Discret, or stealthy) - prototype for the Armee de l'Air versions - is slightly smaller and lighter.",,,,
Dassault Mirage 2000 B/C,Multi-role fighter,"For the third generation of its Mirage warplane series, Dassault returned to the delta configuration -? using negative longitudinal stability and an fly-by-wire flight control system - to eliminate many of the shortcomings of a conventionally controlled delta. This combination confers the resulting Mirage 2000 with exceptional maneuverability. A high-priority development programme was launched to ensure a service debut in 1982. The first of five prototypes made its maiden flight in March 1978. Delivery of 124 production 2000C single-seat interceptors began to the Armee de l'air in 1983.",,,,
Dassault Mirage F1,Multi-role fighter,"Dassault's successor to the Mirage III dispensed with the traditional delta layout and adopted a more conventional configuration. The resulting Mirage F1 has 40 per cent more internal fuel in a smaller airframe, a much shorter field length, three times the supersonic endurance, twice the tactical radius at low levels and all-round better maneuverability.",,,,
Eurofighter Typhoon,Multi-role fighter,"Currently the Eurofighter Typhoon forms the cornerstone of European air power. This multi-role fighter,is planned to remain operational? well into the 21st century.",,,,
HAL Tejas,Lightweight multi-role fighter,"The Indian Tejas (Radiance) is a lightweight multi-role fighter, developed by Aeronautical Development Agency and manufactured by HAL. The Tejas made its maiden flight in 2001 and limited production of this aircraft commenced in 2007. Development was finally completed in 2013. The Tejas is expected to enter service with the Indian Air Force and gradually replace the ageing fleet of MiG-21s, MiG-23s, MiG-27s, Jaguars and Mirage 2000s. However currently its production status is uncertain. The first Indian Air Force unit was equipped with two Tejas fighters in 2016. However it is unknown when this aircraft will achieve full operational capability.",,,,
IAI Lavi,Multi-role fighter,The Lavi (young lion) multi-role fighter was developed by the Israel Aircraft Industry (IAI) in the 1980s. First prototype made its maiden flight in 1986. Original requirement was for 300 aircraft of this type to replace the A-4 Skyhawks. The Lavi fighter project was cancelled in 1987 due to funding problems. Only five airframes were ever built. One of the project cancellation reasons was that this fighter did not represent a sufficient advantage over theF-16 and other comparable aircraft. Nevertheless it was an important milestone in the development of the IAF. Later Israel acquired a large number of American planes.,,,,
IAI Kfir,Multi-role fighter,"France's embargo of Mirage 5J fighters in 1967 forced Israel to establish an indigenous aircraft industry. This led directly to an unlicenced copy of the Mirage III as the Nesher. The Nesher was developed by Israel Aircraft Industries into the canard-equipped Kfir (lion cub). Integration of the new US-supplied J79 engine required total redesign of the rear fuselage and a cooling inlet in the dorsal fin. The new forward fuselage was extended to house avionics, including the Elta 2001B ranging radar and a comprehensive weapons delivery and navigation suite. The prototype was flown in 1973 and production Kfir C.2s entered service in the fighter-bomber role with the IDF/AF in 1975.",,,,
Mitsubishi F-3,Prototype stealthy multi-role fighter,"The Mitsubishi F-3 is a planned Japanese indigenous fifth generation fighter. It is planed to evolve from Advanced Technology Demonstrator - X (ATD-X) program. This aircraft is widely known in Japan as Shinshin. Japan wants to field a stealthy fighter in light of China's rapid military modernization. A first mock-up of the ATD-X was constructed in 2005. It was used to study radar cross section in France. Some sources claim that originally the ATD-X was a paper project, intended to pressure the US. Japan wanted to buy AmericanF-22 Raptor stealthy air superiority fighter, however Pentagon refused to allow it. Then funding was provided for development of indigenous aircraft. Currently this aircraft is still under development. First flight commenced in 2016. This first aircraft is used as technology demonstrator and research prototype. Development should be completed in 2017. The Mitsubishi F-3 could reach production after a couple of years. Once operational it will replace a fleet of older Japanese F-15J andMitsubishi F-2 fighters.",,,,
MiG-35,Multi-role fighter,"The MiG-35 multi-role fighter was developed by Mikoyan design bureau in the early 2000s. It is a significantly improved version of theMiG-29. This fighter aircraft has the latest electronic equipment, new engines and other systems. The MiG-35 made its first flight and was first publicly revealed in 2007. Its reporting name in the West is Fulcrum-F. The aircraft was developed for a number of years. In 2013 it was announced that Russian Air Force plans to order a total of 37 new aircraft. By 2016 a total of 3 prototypes and 2 pre-production aircraft were completed. Factory trials of this aircraft were completed in 2017. In 2019 two of these multi-role fighters were delivered to the Russian Air Force for trials and evaluation and another four were planned to be delivered by the end of 2019. The MiG-35 is also being proposed for export customers, including Algeria, Egypt and India.",,,,
Mikoyan MiG 1.42 (1.44) MFI,Demonstrator for multi-role tactical fighter,"During the mid to late 1990s the aviation community was tantalised by the impending debut of Russia's first fifth-generation fighter, the Mikoyan MFI. The MFI was developed to counter the threat posed by the ATF programme under which theF-22 was created. Mikoyan claims that the MFI's combination of aerodynamic properties, armament and avionics render it superior to any contemporary fighter, including the F-22A.",,,,
Mikoyan MiG-31BM,Multi-role fighter,The MiG-31BM is the latest version of the MiG-31. It evolved as an improved version of the MiG-31B interceptor with an added air-to-ground capability. Development of this aircraft commenced in 1997. First prototype was introduced in 1998. The second prototype was completed until 2006. In 2011 Russian MoD signed the first contract to upgrade a total of 60 aircraft to the new standard. Deliveries the the Russian Air Force commenced in 2011. A follow-on contract for upgrade of more than 50 aircraft was signed in 2014. By 2017 a total of 110 aircraft were reportedly upgraded to the MiG-31BM and MiG-31BMS standards. This upgrade allowed to extend service life of older aircraft for at least another 15 years. It is planned that all operational MiG-31s will be upgraded.,,,,
Mikoyan MiG-31,Long-range interceptor,The MiG-31 (Western reporting name Foxhound-A) was developed as part of an overall programme to provide the Soviet air defenses with the ability to meet the threat posed by NATO low-level strike aircraft and cruise missiles. It was also intended to fulfill high-altitude and high-speed interception,,,,
Mikoyan MiG-29,Multi-role fighter,"The MiG-29 was developed to meet a Soviet Air Force requirement for a lightweight multi-role fighter. It was a Soviet response to the American F-16 multi-role fighter. With its stunning maneuverability, the MiG-29 re-established the Soviet Union's reputation as a producer of capable combat aircraft. This fighter is known in the West as the Fulcrum. The MiG-29 was built in substantial numbers. About 1 600 fighters of this type were built. Most of them (about 900) were exported. After Russia, Ukraine is the next major operator with six regiments (including Fulcrum-Cs). Other operators are Belarus, Bulgaria, Cuba, Eritrea, Germany, Hungary, India, Iran, Iraq, Kazakhstan, North Korea, Malaysia, Peru, Poland, Romania, Slovakia, Syria, Turkmenistan, Uzbekistan and Yugoslavia. The MiG-29s serve primarily as air defense fighters. All operators have small numbers of MiG-29UB two-seat conversion trainers.",,,,
Mikoyan MiG-25,Interceptor and reconnaissance aircraft,"The Mach 3-capable Mikoyan-Gurevich MiG-25 (Western reporting name Foxbat) was developed in the early 1960s to fulfill the high-altitude and high-speed interception and dedicated reconnaissance roles. First prototype made its maiden flight in 1964. This aircraft was revealed by the Soviets in 1967. Its appearance led to serious concerns throughout the US Department of Defense that the US was being outclassed and led to development of a new F-15 air-superiority fighter in order to counter the threat posed by this Soviet warplane. Production of the MiG-25P (interceptor variant) commenced in 1971 and it entered service with the Soviet Air Force in 1972. Its reporting name in the West was Foxbat-A. Though this aircraft was simultaneously produced in numerous variants. A total of 1 186 MiG-25s of all variants were built until production ceased in 1985. This aircraft was exported to some countries. Since its introduction the MiG-25 was an important type in service with the Soviet air force and air defense forces. After the collapse of the Soviet Union a number of MiG-25s were passed on to successor states. In the 1990s the MiG-25 remained an important type in Russia and formed the backbone of the Russia's air defenses. Though the numbers were gradually reducing. These aircraft flew missions during the 1999 military campaign in Chechnya. In 2001 Russian Air Force still operated limited numbers of MiG-25PD/PDS (Foxbat-E) interceptors. In 2010 a total of 42 MiG-25RBs (reconnaissance-bomber variant) remained in service. These were found with units that predominantly used the newerMiG-31. The MiG-25 has been retired from the Russian service, however small numbers may remain operational with some of the export operators, including Algeria and Syria.",,,,
Mikoyan MiG-23,Tactical fighter,"The 'swing-wing' MiG-23 (NATO reporting name Flogger) was developed in the 1960s in response to the USF-14 Tomcat. It succeeded the previous MiG-21. It combined greater payload, range and firepower with beyond visual range intercept capability from more powerful onboard sensors. The Model 23-11 prototype first flew in 1967. Production commenced in 1969.",,,,
MiG-21,Fighter aircraft,"The most widely produced supersonic jet fighter of all time, the MiG-21 (Western reporting name Fishbed) is an incredibly prolific aircraft. Dated but nimble, it has allowed skilled pilots in past decades to defeat more advanced aircraft. However, its days are numbered as the majority of air forces switch to newer fighters.",,,,
Sukhoi Su-57,Stealthy multi-role fighter,"The Sukhoi Su-57 is a new Russian fighter aircraft. It started life of the PAK FA (or Future Frontline Aircraft System). Originally it was thought that the PAK FA is an air superiority fighter, however it turned out that this aircraft has a secondary ground attack capability. This new stealthy aircraft was designed to replace ageingMiG-29 and Su-27 fighters. It can be seen as a Russian answer to the USF-22 Raptor. Development of this aircraft commenced in 2001. A T-50 prototype was revealed and made its maiden flight in 2010. In 2014 a pre-production prototype was delivered to the Russian Air Force for trials and evaluation. These trials were completed in 2015. It was planned that this fighter aircraft will enter service in 2017-2018 and should reach full operational capability by 2020. However by 2017 the aircraft was not ready for full-scale production. Most likely that setbacks were related to technical issues, incomplete development of some of its core systems, such as engines, new missiles and electronics, as well as funding problems. In 2017 the PAK FA received a regular Su-57 designation. Russian Air Force has a requirement for up to 150-200 of these new multi-role fighters. Meanwhile the Russian Air Force ordersSu-35 multi-role fighters as an interim measure, until the Su-57 stealthy fighter becomes available. By 2018 at least 9 Su-57 aircraft were built including prototypes and pre-production fighters. It was planned that in 2018 a first batch of 12 pre-production fighters will be delivered to the Russian Air Force. In fact in 2018 a couple of pre-production Su-57 fighters were deployed in Syria. In 2019 Russian Air Force ordered a first batch of 76 Su-57 fighters. Full scale production began during the same year. Deliveries are planned to be completed by 2028. It is claimed that the Su-57 will be also proposed for export customers.",,,,
Sukhoi S-37 Berkut,Research and technology demonstrator aircraft,"On 25 September 1997 the S-37 Berkut (Royal eagle) made its maiden flight from the flight test centre airfield at Zhukhovskiy. The S-37 prototype (sometimes referred as the Su-47) was developed by Sukhoi to explore the post-stall maneuverability and supermaneuverability. Although very much a research aircraft and concept demonstrator, it formed the basis of a new RussianSukhoi Su-57 stealthy multi-role fighter (previously known as PAK FA).",,,,
