number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
5,Fragmentation Munition With Limited Explosive Force,"A Fragmentation Munition Has A Fragmentation Canister Containing Preformed Fragments, And An Explosive Cartridge That Fits Into A Central Hole In The Fragmentation Canister. The Explosive Cartridge Includes An Outer Shell, And An Explosive Within The Outer Shell. The Munition May Be Configured To Precisely Deliver Fragments To A Relatively Small Area, Such As An Area That Is A Few Meters In Radius. Toward That End The Explosive May Be Configured Primarily To Rupture The Housing And Secondarily To Spread Fragments Over A Limited Area. The Main Kinetic Energy Of The Fragments Is From The Acceleration They Gain As Part Of The Munition Falls From A Launcher, Such As A Carrier Aircraft. The Dispersed Fragments May Have A Similar Downward Velocity After Controlled Dispersal By The Explosive, Allowing Them Considerable Kinetic Energy (Considerable Penetrating Power), But With A Precisely Controlled Dispersal Area.",Raytheon Company,US9739583B2,2017/8/22 0:00,US14453991,2014/8/7 0:00,F42B12/32,F42B12/32;F42B12/20
87,Method For Determining Threat Status For Combat Aircrafts,"The Invention Relates To A Method For Decision Support Of A First Combat Aircraft (1) In A Combat Situation Comprising The Steps Of: A) Detecting (3) A Second Combat Aircraft (2), Wherein The Second Combat Aircraft (2) Is Different From The First Combat Aircraft (1), B) Analyzing (4) The Second Combat Aircraft (2) To Determine Its Type, Its Sensor Capacity And Its Total Weapons Capacity, And C) Recording (5) The Sensor Capacity And The Total Weapons Capacity Of The Second Combat Aircraft (2) To Determine A First Geographic Zone Adapted For Defining The Detection Limit Of The Second Combat Aircraft (2) And A Second Geographic Zone Adapted For Defining A Shoot-Down Limit Of The Second Combat Aircraft (2), Respectively, Wherein The First And The Second Geographic Zone Are Adapted For Decision Support Of The First Combat Aircraft (1) In The Combat Situation With The Second Combat Aircraft (2). In This Way, A Possibility Is Provided To Assist The Pilot In Decision Support In Complicated Combat Situations While Being Reliable, Fast And Easy To Handle For The Pilot In Order To Make A Quick And Efficient Decision.",Anders Lundqvist; Vibeke Kensing,US8909394B2,2014/12/9 0:00,US14352280,2012/2/16 0:00,G05D1/00,G05D1/00;F41G3/22
89,A Thermally Concealed Laser Combat Robot With Reconnaissance Function,"The Invention Discloses A Thermally Concealed Laser Combat Robot With A Reconnaissance Function, Which Includes A Wheel-Crawler Robot Platform. The Wheel-Crawler Robot Platform Includes A Chassis Cabin And Crawler Walking Mechanisms Arranged On The Left And Right Sides Of The Chassis Cabin. A Turret Mounting Seat Is Installed On The Top Plate Of The Chassis Cabin Body, And The Turret Mounting Seat Is Connected To The Bracket Through A Rotary Joint That Can Rotate Infinitely 360 Degrees In The Horizontal Direction. The Bracket Is Equipped With A Laser Cannon, A Multi-Tube Cannon And A Laser Generator. The Laser Cannon Is Connected With A Laser Generator, And The Laser Generator Is Connected With A Control Cabinet Arranged On The Chassis Cabin; The Front End Of The Chassis Cabin Is Provided With A Laser Radar. The Invention Has Good Ability To Climb And Overcome Obstacles, Has The Ability To Survive In High Temperature, Explosion And Strong Corrosion Environments, Has Excellent Infrared Stealth And Detection Functions, And Uses Laser Cannons To Instantly And Silently Strike Enemy Equipment And Personnel As Well As The Function Of Short-Term Blindness, It Also Has Better Self-Defense.",Ren Qubo,CN105605980A,2016/5/25 0:00,CN201610025625.2,2016/1/14 0:00,F41H13/00,F41H13/00
100,Suicide Bomber Blast Threat Mitigation System,"A Non-Lethal, Sabot-Deployed Blast Shield Mitigates A Suicide Bomber By Wrapping Around The Bomber And Positioning A Plurality Of Protective Layers Over An Explosive Device To Absorb Emitted Heat, Shock Waves, And Projectiles If The Device Is Detonated. Stand-Offs Such As Inflatable Beams Or Pillows Provide Break-Away Zones Between The Protective Layers, Allowing Some Layers To Expand To A Point Of Failure And Absorb The Maximum Possible Energy. Inner Layers Absorb Shock Waves And Heat. One Or More Outer Layers Resist Projectile Penetration. Protective Layers Can Be Positioned On Opposing Sides Of A Suspect In Case Two Explosive Devices Are Present. Shields Can Deploy With Sufficient Energy To Knock Down A Bomber. In Embodiments, A Plurality Of Shields Can Be Applied Without Interference Therebetween. In Some Embodiments, A Round Shield Includes Bolas Which Spread The Shield In Flight In A Cast-Net Dynamic And Wrap Around The Suspect For Shield Attachment.",Charles A Howland,US8468925B2,2013/6/25 0:00,US13102070,2011/5/6 0:00,F41H5/04,F41H5/04;F41H5/08;F42B12/00;F42B14/06
120,Fragmentation Munition With Limited Explosive Force,"A Fragmentation Munition Has A Fragmentation Canister Containing Preformed Fragments, And An Explosive Cartridge That Fits Into A Central Hole In The Fragmentation Canister. The Explosive Cartridge Includes An Outer Shell, And An Explosive Within The Outer Shell. The Munition May Be Configured To Precisely Deliver Fragments To A Relatively Small Area, Such As An Area That Is A Few Meters In Radius. Toward That End The Explosive May Be Configured Primarily To Rupture The Housing And Secondarily To Spread Fragments Over A Limited Area. The Main Kinetic Energy Of The Fragments Is From The Acceleration They Gain As Part Of The Munition Falls From A Launcher, Such As A Carrier Aircraft. The Dispersed Fragments May Have A Similar Downward Velocity After Controlled Dispersal By The Explosive, Allowing Them Considerable Kinetic Energy (Considerable Penetrating Power), But With A Precisely Controlled Dispersal Area.",Raytheon Company,US20160231096A1,2016/8/11 0:00,US14453991,2014/8/7 0:00,F42B12/32,F42B12/32
182,Method For Duel Handling In A Combat Aircraft,"The Invention Relates To A Method For Decision Support Of A First Combat Aircraft In A Duel Situation With A Second Combat Aircraft. The Method Comprises The Steps Of: A) Determining (3) A First Plurality Of Combat Value Parameters Of The First Combat Aircraft (1) And Determining (3) A Second Plurality Of Combat Value Parameters Of The Second Combat Aircraft (2), Wherein The Second Combat Aircraft (2) Is Different To The First Combat Aircraft (1), B) Analyzing (4) The First And The Second Plurality Of Combat Value Parameters Determined In The Previous Step (Step A)) By Fitting The First And The Second Plurality Of Combat Value Parameters To A Predefined Model, And C) Combining (5) The First Plurality Of Combat Value Parameters Analyzed In The Previous Step (Step B)) To Calculate A First Value And Combining (5) The Second Plurality Of Combat Value Parameters Analyzed In The Previous Step (Step B)) To Calculate A Second Value, Wherein The First Value And The Second Value Are Compared To Each Other To Determine The Optimum Success Probability Data Of The First Combat Aircraft (1) And Of The Second Combat Aircraft (2) Adapted For Decision Support In The Duel Situation. In This Way, A Reliable And Fast Tool For The Pilot Is Provided While The Tool Is Easy To Handle And Assists The Pilot In Order To Make A Quick And Efficient Decision In Duel Situations.",Anders Lundqvist; Vibeke Kensing,US9092724B2,2015/7/28 0:00,US14352131,2012/2/16 0:00,G06G7/48,G06G7/48;F41G9/00;G06N7/00
252,Method For Determining Threat Status For Combat Aircrafts,"The Invention Relates To A Method For Decision Support Of A First Combat Aircraft (1) In A Combat Situation Comprising The Steps Of: A) Detecting (3) A Second Combat Aircraft (2), Wherein The Second Combat Aircraft (2) Is Different From The First Combat Aircraft (1), B) Analyzing (4) The Second Combat Aircraft (2) To Determine Its Type, Its Sensor Capacity And Its Total Weapons Capacity, And C) Recording (5) The Sensor Capacity And The Total Weapons Capacity Of The Second Combat Aircraft (2) To Determine A First Geographic Zone Adapted For Defining The Detection Limit Of The Second Combat Aircraft (2) And A Second Geographic Zone Adapted For Defining A Shoot-Down Limit Of The Second Combat Aircraft (2), Respectively, Wherein The First And The Second Geographic Zone Are Adapted For Decision Support Of The First Combat Aircraft (1) In The Combat Situation With The Second Combat Aircraft (2). In This Way, A Possibility Is Provided To Assist The Pilot In Decision Support In Complicated Combat Situations While Being Reliable, Fast And Easy To Handle For The Pilot In Order To Make A Quick And Efficient Decision.",Anders Lundqvist; Vibeke Kensing,US20140277852A1,2014/9/18 0:00,US14352280,2012/2/16 0:00,F41G3/22,F41G3/22
294,Method For Stacking A Vehicle On Top Of Another Similar Vehicle And Stackable Vehicle For Performing The Method,"The Present Invention Relates To A Method For Stacking A First Motor Vehicle On Top Of A Second Motor Vehicle, The Method Comprising The Steps Of: Providing A Group Of Rear Tilting Members At The Rear Part Of The Lower Vehicle, Which Will The Rear Part Of The Roof Of The Cabin Of The Lower Vehicle Is Connected To The Ground; A Group Of Front Tilting Members Or Supports Are Provided In The Front Part Of The Roof Of The Cabin Of The Lower Vehicle, The Group Of Front Tilting Members Or The Support Allows The Front Wheels Of The Upper Vehicle To Roll On It; The Upper Vehicle Rolls On The Rear Tilting Member Of The Lower Vehicle, So That The Upper Vehicle Rises Or Climbs From A Position On The Ground To The Top Of The Roof Of The Lower Vehicle Continue To Roll The Upper Vehicle On The Roof Of The Lower Vehicle Until It Reaches The Final Stacking Position Indicated By The Stop Device. In The Final Stacking Position, The Front Wheel Of The Upper Vehicle Rests On The Front Of The Lower Vehicle. The Rear Wheel Of The Upper Vehicle Rests On The Rear Inclined Member Of The Lower Vehicle, Wherein The Upper Vehicle And The Lower Vehicle Are Substantially Vertically Aligned, And The Front Wheels And Rear Wheels Of The Upper Vehicle In The Final Resting Position The Height Of Is Lower Than The Height Of The Roof Of The Lower Vehicle; The Upper Vehicle Is Fixed To The Lower Vehicle By A Suitable Fastening Device, Wherein The Fastening Force Of The Fastening Device Is Preferably Such That The Suspension Of The Upper Vehicle Is Compressed By About 3 To 5 Cm, So Reduce The Overall Height Of The Vehicle Stack; And Remove, Fold Or Shrink Part Or All Of The Rear Tilting Member Of The Lower Vehicle. In Addition, The Present Invention Relates To A Vehicle That Can Perform The Stacking Method. The Vehicle Includes A Vehicle Body, The Vehicle Body Includes Four Wheels And A Cabin With A Roof; A Pair Of Front Tilting Members Or Supports, Which Are Located On The Roof Of The Cabin At The Two Sides Of The Front End; And A Pair Of Rear Tilting Pieces, Which Are Located At The Two Sides Of The Rear End Of The Roof Of The Cabin. Stackable Vehicles Also Include Means For Rapid Aerial Deployment (Airdrop) Of Vehicles Transported In A Stack In A Transport Plane.",Ferri Pronello; Ericeto A Pronello,CN108698533A,2018/10/23 0:00,CN201680081962.1,2016/12/16 0:00,B60P3/08,B60P3/08;B62D47/00;F41A23/26
316,Method For Recognizing Connection State Of Two-Way Initiating Device Plug,"A Method For Identifying The Connection State Of A Two-Way Pyrotechnic Device Plug, Which Includes A Bomb-Loaded Computer Plug, An Pyrotechnic Device Plug, And A Test Equipment Plug; The Computer-Loaded Plug, The Pyrotechnic Product Plug, And The Test Equipment Plug Are Based On Their Original Pins. Four Pins Have Been Added; In Addition, The On-Board Resistance Detection Circuit Is Added To The On-Board Computer Connected To The Plug Of The Missile-Borne Computer, And The Test Equipment Resistance Detection Circuit Is Added To The Test Equipment Connected To The Test Equipment Plug; The On-Board Resistance Detection Circuit, The Resistance Detection Circuit Of The Test Equipment Is Matched With The Four Additional Pins Of The Computer Plug, The Pyrotechnics Plug And The Test Equipment Plug To Accurately Detect The Connection Status Of The Two-Way Pyrotechnics Plug; Therefore, The Air-To-Air Missile Is Completely Installed. After The Operation, Neither The Missile Mount Operator Nor The Pilot Of The Aircraft Could Check The Connection Status Of The Missile-Borne Computer Plug And The Pyrotechnic Device Plug, So That The Risk Of The Missile-Borne Computer Plug And The Pyrotechnic Product Plug Leaking Connection Was Completely Eliminated.","Jiangxi Hongdu Aviation Industry Group Co., Ltd.",CN110320437A,2019/10/11 0:00,CN201910587172.6,2019/7/1 0:00,G01R31/04,G01R31/04;F42B35/00
419,Special Area Intrusion Uav Early Warning Interception Control System,"A Special Area Intrusion Drone Early Warning And Interception Control System, Including A Detection And Disposal System And A Control Command System. The Detection And Disposal System Includes: An Electronic Signal Command Detection And Acquisition Module, A Radar Detection Module, An Optical Matrix Remote Detection System, And A Takeover Control Module , Uav Remote Control Signal Data Link Blocking Interference Module, Netting Transmission Module, Signal Data Orientation Module And Navigation Interference Signal Transmission Module; The Control Command System Includes Server, Approval Control Unit, Uav Database Module, Uav Data The Comparison Module And The Navigation Data Module; The Communication Connection Is Established Between The Two Systems And Between The Parts Of Each System Respectively Through Wired Or Wireless Means. The Advantages Of The Present Invention Are: By Arranging A Plurality Of Detection And Disposal Systems In A Circle, The Foreign Drones Are Detected, Monitored And Identified In The Identification Area, And Illegally Invaded Drones Are Dealt With Before Entering The Core Protection Area To Ensure The Security Of The Core Protected Area.",Zhang Hongbin,CN106839882B,2018/12/28 0:00,CN201710047228.X,2017/1/22 0:00,F41H11/02,F41H11/02
