title,content,type,time
"Unmanned Surveillance Problem: Mathematical Formulation, Solution Algorithms, and Experiments","Modern technologies used in military operations, as well as in many civil applications, have become common in recent years. Unmanned aerial vehicles play a key role in tasks such as monitoring and inspection, reconnaissance, surveillance, mapping, and networking. This article deals with the unmanned surveillance problem, which is a problem of the path planning for a fleet of unmanned aerial vehicles performing persistent surveillance of a ground area of interest. The surveillance is performed via sensor systems of individual drones from a set of waypoints deployed in the area of operations. The objective of the problem is to plan a route (that is, the order in which the waypoints are visited) of every vehicle in the fleet to ensure the best observation of the area of interest. This article presents a new mathematical formulation of the problem. The novelty in this formulation consists of a new perspective on the objective function, which is based on an integral of time function to minimize time between observations of portions of the area conducted from waypoints. For the solution, three deterministic approaches are proposed. To evaluate the results, a set of benchmark instances for the problem is defined. The solution algorithms are analyzed and evaluated by experiments conducted on the benchmark instances. The best approach is shown to be the algorithm that uses a multidepot vehicle routing problem solution as a template to generate a solution for the unmanned surveillance problem.",Drone,2020
"Drones, imagem-tempo e o fim do poder soberano","Abstract: This paper deals with the specificity that characterizes one of the most important technological aerial products dedicated to surveillance and attack being in use nowadays, the drones, showing in which sense this new technology is a decisive turning point in the evolution of the domination of the skies and therefore, as suggested by Carl Schmitt, in the transformation of the political-theological field in contemporary societies. The radical immanence of the political field proposed by liberalism, such as Schmitt described it, finds in drones one of its most typical instruments. To characterize the specificity of drones regarding other visual and aerial war machines, it will be proposed an approximation with the Deleuzian concept of image-time, in order to determine its singularity through the intrinsic properties of the images so produced. The main characteristic of the Deleuzian time-image to be integrated in the analysis of drones will be its haptic aspect. At this point, the relation between Deleuze¡¯s cinema books and his work in collaboration with F¨¦lix Guattari will be essential to characterize the political dimension of the drone-image.",Drone,2020
3D Optimal Surveillance Trajectory Planning for Multiple UAVs by Using Particle Swarm Optimization With Surveillance Area Priority,"The use of the unmanned aerial vehicle (UAV) has been regarded as a promising technique in both military and civilian applications. However, due to the lack of relevant laws and regulations, the misuse of illegal drones poses a serious threat to social security. In this paper, we develop a trajectory planner based on particle swarm optimization and a proposed surveillance area importance updating mechanism aimed at deriving three-dimensional (3D) optimal surveillance trajectories for multiple monitoring drones. We also propose a multi-objective fitness function in accordance with energy consumption, flight risk, and surveillance area priority in order to evaluate the trajectories generated by the proposed trajectory planner. Simulation results show that the trajectories generated by the proposed trajectory planner can preferentially visit important areas while obtaining a high fitness value in various practical situations.",Drone,2020
Do Emerging Military Technologies Matter for International Politics?,"We live in a digital world. This fact has significant consequences for warfare. Two technologies in particular, cyber and drones, feature in military and intelligence operations and in scholarship. In addition, a new vein of scholarship is examining how advances in artificial intelligence have the potential to shape the future of warfare. While scholars disagree about the consequences of these technologies for international politics, they tend to agree that their consequences are mediated by the ability of military organizations, whether state or nonstate actors, to use them effectively in relevant military scenarios and in the pursuit of political ends. Studying newer military technologies, with less empirical evidence than is available for technologies that have been around for decades, also generates methodological challenges for research.",Drone,2020
A Study on the Required Operational Abilities of the Drone Combat System for Countering Underground Facilities (UGFs),"This research aimed to derive the required operational capability considerations of the drone combat system to carry out CWMD operations in underground facilities. The Delphi technique was used for this study and the survey was conducted among 30 experts in the fields of drone combat systems and CWMD operations, and in the military and civilian sectors. The first questionnaire investigated the required operational capabilities by using open-ended questions, and the second to fourth questionnaires statistically analyzed the agreement of the experts on each required capability. As a result of the factor analysis, a total of eight factors were derived.",Drone,2020
Operational Concept and Effectiveness for Aerial Tactical Network in TICN,"Due to the rapid development of drone-related technologies, technical research is underway to establish a multi-layer airborne network that utilizes drones. The military is actively discussing how to use drones.Especially, the Army is demanding for the development of a ground-based tactical information communication system into a multi-layer integrated network structure in order to prepare for future changes in the battlefield environment. However, research on operation of combat radio network using airborne drones, operation of backbone network using stratosphere airships, or analysis of the effectiveness of those systems are insufficient to overcome communication constraints on the ground and ensure real-time command-control and situational awareness. This paper analyzes the operational environment of the combat wireless network and ground backbone network, which are sub-systems of the tactical information communication network(TICN) on the ground, and introduces how to operate the airborne backbone network using small drones and stratosphere airships to solve their problems. In addition, the results of the analysis using Riverbed Modeler are presented for increasing packet transmission success rate and decreasing transmission delay when not operating an aviation tactical network and when operating an aviation tactical network, respectively.",Drone,2020
Anlaysis of Single and Multiple Spoofing Techniques for GPS Receiver Deception in Low Target Detection Accuracy,"Considering that Unmanned Aerial Vehicle technology is used for as surveillance & terrorism, technical research to attack it is also in progress. Satellite navigation technology is used for common autonomous navigation due to its low cost and high accuracy. This paper analyzes the effect of navigation result during jamming attack to drone target using satellite navigation. It generates various spoofing signals in various scenarios under low detection accuracy environments. The navigation results due to the detection error are examined in the software defined receiver. We test whether the deception performance is different in the condition of one deception signal. We analyze the test results and limitations when applying a simple multi-spoofing technique to overcome the low detection accuracy.",Drone,2020
Patent Trend Analysis of Anti-Drone : Focusing on the Neutralization Means and Methods,"Recently, drones have been used for a variety of purposes, as well as military use, widely distributed among the public. However, as drones are used for illegal purposes such as crime and terrorism, research on anti-dron-related technologies has been active recently. Anti-drone technology can be classified into detection, tracking, and neutralization. Among them, the neutralization technologies are distinguished by using networks to capture drones, by disturbing control frequencies or GPS signals that drones are using, and by firing guns and lasers directly into drones to destroy them. Thus, in this paper, we searched for patents applied to Korea, USA, Japan, and EUrope since 2000 for drone neutralization technology, and extracted a total of 151 valid patents. According to the analysis, the most frequently applied to the USA, the main methods of neutralizing drone are the use of capture networks and radio disturbance. The capture network mainly used defense drones and projectiles equipped with nets on the ground. And radio disturbance methods were mainly used for radio disturbance devices and portable devices(jamming guns) on the ground were used. Major applicants included Battelle Memorial Institute, XiDrone Systems, Diehl Defense, Department 13, MBDA and Openworks Engineering.",Drone,2020
A Study on the Effective Utilization of Public Service Drones - Focused on Search and Rescue Drones -,"Drones, which were originally developed for military purpose, have expanded rapidly not only in hobbies, leisure, but also in broadcasting, filming, and public sectors, and search and rescue drones have been used to find four Korean teachers who went to Nepal for volunteer work but went missing in the avalanche. The government is encouraging the use of drones in the public sector as a policy to foster the drone industry, and the market is expected to expand in the future.This study presents improvement measures and specific directions for use of drones by public agencies at a time when the use of drones is expanding in the public sector. To that end, this research reviewed the interviews of relevant experts, analysis of drone operation regulations by public agencies, and the cases of operation of drones for searching missing persons by police.First of all, it will have to secure skilled personnel before the introduction of the drones and then determine the specifications of the drones through sufficient review, and then be put into the mission after careful examination of the drones. Next, it is necessary to draw up a base rule for drone operation and draw up a manual accordingly. Finally, drone flight has the risk of a crash, and it is essential to secure dedicated personnel for drone operation, especially since drones in the public sector are specialized in large scale compared to hobby drones to achieve their purpose.This research only conducted a detailed analysis of the National Police Agency's drones for searching for missing persons, and there are limitations to the number of people interviewed. Subsequent studies will require analysis of various public institutions, and in addition to interviews, surveys will require analysis of various data and statistics.",Drone,2020
A Study on the Enhancement of Authentication in LTE-Based Dronebot Combat System Using PUF-OTP,"Dronebot combat system is considered to be in charge of its role as a key game changer on the future battlefield. However, due to the nature of drones using the wireless communication, they can be exposed to various cyber threats. And when commercial mobile communication technology developed with emphasis on transmission speed or quality of service, such as 4G LTE or 5G network, is utilized as the underlying network of dronebot combat system, measures must be taken to ensure security. This paper assumes that the dronebot combat system, which the ROK Army is currently operating on the basis of the 4G LTE network, and proposes ways to enhance security through improved authentication. Proposed approach enhances the EPS-AKA authentication procedure applied to 4G LTE network by utilizing PUF-OTP, various security vulnerabilities of existing EPS-AKA are eliminated and security is enhanced. In addition, the authentication procedure was organized by excluding the use of the CRP table in consideration of possible delay in authentication by the CRP table when operating a large number of dronebots. We also suggest ways to allow ground control stations and dronebot to perform the authentication process using the PUF-OTP in case the 4G LTE network fails",Drone,2020
